ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT
00502D01IX,34,0,205253.0,286,0,2
00504A56CT,59,0,500732.0,209,0,2
00504T00RT,33,0,243617.0,372,1,3
00507E06MF,49,0,134492.0,479,0,3
00517Y96VA,62,1,293661.0,298,0,2
00518J26YC,27,1,447013.0,313,1,2
00518T21SS,63,1,181069.0,463,1,3
00520M39VD,33,1,317437.0,56,0,1
00520U36PQ,63,1,403709.0,821,1,4
00522N86WP,27,0,205214.0,596,1,4
00525V37OB,54,1,450053.0,361,1,3
00530T87YG,61,1,199896.0,416,1,3
00533R36MW,62,1,194712.0,150,0,1
00539H54NQ,45,0,137660.0,201,0,2
00542P53PF,58,1,481856.0,571,1,4
00543L30OC,58,0,126174.0,240,0,2
00546N40AX,43,1,734605.0,260,0,2
00546X20AD,33,1,382048.0,254,1,2
00548N04YU,59,1,203056.0,306,0,2
00551U40CI,52,0,465582.0,168,1,1
00553H11CJ,50,0,212319.0,431,0,3
00553J02LM,46,1,366016.0,125,0,1
00556C70FP,43,1,661573.0,562,1,4
00560M12PX,63,1,411613.0,686,1,4
00567R64FM,37,0,397731.0,213,1,2
00568J65SH,55,0,138584.0,975,1,4
00569N86LZ,28,1,177483.0,332,1,2
00570A36UB,55,0,776224.0,518,1,4
00573A72IV,63,0,688604.0,483,1,3
00573H82YB,29,1,457411.0,286,1,2
00573O29KC,29,1,498557.0,423,1,3
00581Q10GK,36,0,290958.0,275,0,2
00581V89BY,60,1,479149.0,339,1,2
00586N32TT,41,0,176922.0,324,1,2
00586U96UR,49,0,405799.0,275,1,2
00588Z20CE,57,1,94773.0,326,0,2
00591L30JZ,63,1,413181.0,529,1,4
00596L21AG,36,1,608235.0,500,0,3
00597M73JU,59,0,347636.0,426,1,3
00597U80TD,57,1,199264.0,30,1,1
00597Y41ON,49,1,683741.0,335,0,2
00600R42WH,41,0,265642.0,278,0,2
00604N95HR,40,1,511939.0,343,1,2
00607C34QX,28,1,434555.0,301,1,2
00607J41MX,59,1,237955.0,181,1,1
00614D96HJ,27,0,230490.0,348,0,2
00618Q42CL,35,0,150900.0,443,1,3
00619C80OJ,50,1,458736.0,60,0,1
00620C55TZ,38,0,572869.0,488,1,3
00621B59JV,64,0,113709.0,626,0,4
00622Q85VX,56,1,241616.0,120,0,1
00627F51PE,49,0,495549.0,141,1,1
00632Y77VT,41,1,529835.0,446,1,3
00633V61EC,57,0,471821.0,45,1,1
00636I79LV,56,0,378477.0,463,1,3
00638O43EA,51,1,367565.0,237,0,2
00641G28YH,61,0,109837.0,311,1,2
00643U81CS,30,0,235558.0,284,0,2
00649W73YA,51,1,477813.0,230,1,2
00655D11UW,31,0,112574.0,369,0,3
00658H28XP,35,1,151637.0,315,1,2
00658R45HF,53,0,787609.0,802,1,4
00659T59XL,30,1,437995.0,349,0,2
00666Q86JT,39,0,444372.0,337,1,2
00667B13SX,62,0,411862.0,422,1,3
00669I59LZ,33,1,368384.0,349,1,2
00674D31IS,47,1,659317.0,290,1,2
00674H38AW,60,1,482248.0,411,0,3
00677W20SF,33,1,239741.0,389,0,3
00682D83FR,51,0,793627.0,513,1,4
00683H66HF,29,1,466160.0,120,1,1
00684U17QW,59,0,166379.0,257,0,2
00692P42OU,36,0,443703.0,442,0,3
00697M49YH,55,0,122931.0,481,0,3
00698O55HC,55,0,110499.0,231,0,2
00704C92HW,51,1,88680.0,87,0,1
00705G84QD,34,1,342933.0,482,1,3
00705J21XS,30,0,257651.0,79,0,1
00705Q74LP,33,1,331717.0,346,0,2
00706L25FX,62,0,137580.0,344,0,2
00717V64OY,48,0,385394.0,424,1,3
00717W67CY,64,0,779778.0,380,1,3
00719I75XG,47,0,170486.0,238,0,2
00719L34GW,48,1,347008.0,487,1,3
00726J74XT,48,1,483365.0,325,1,2
00727W36KD,54,1,303965.0,71,0,1
00730M90XX,36,0,196575.0,350,1,2
00733E14KR,55,1,408051.0,98,0,1
00741J06PK,64,0,106193.0,790,0,4
00741O96XC,42,1,341971.0,891,0,4
00743F31QF,34,1,401235.0,253,0,2
00744S19FN,59,0,308839.0,107,0,1
00746S00UV,65,1,166531.0,15,0,1
00748R62RR,46,1,459747.0,938,1,4
00750T82EG,25,1,379876.0,340,0,2
00751P30ZX,48,1,531717.0,798,1,4
00752S07GF,51,1,358352.0,878,1,4
00753Y39FX,28,1,469075.0,252,0,2
00754G43CV,31,1,334384.0,371,1,3
00755W40EI,44,0,181029.0,334,0,2
00757R94ZC,56,0,740746.0,140,1,1
00759T72LN,51,1,378904.0,405,1,3
00760K33VH,51,1,421677.0,779,1,4
00763N11CY,56,1,171003.0,507,0,4
00764I35GI,53,0,513727.0,786,1,4
00764Z54EI,56,1,87859.0,401,0,3
00768Z00MB,41,0,394836.0,254,0,2
00768Z27FB,63,0,633688.0,255,0,2
00769R93WL,45,1,326555.0,342,1,2
00772D21XX,44,0,478692.0,423,1,3
00774B38EU,59,1,272045.0,300,1,2
00779J88GP,30,1,255157.0,173,1,1
00784Q15XZ,54,0,142597.0,50,1,1
00788W35OF,65,1,321733.0,167,1,1
00789T30IT,41,1,608949.0,43,0,1
00799J78SE,33,1,445744.0,324,0,2
00801Q34ZT,33,1,487368.0,275,0,2
00805J05YV,31,0,286693.0,224,0,2
00807X19YS,54,0,367247.0,167,1,1
00810O95VM,27,0,191639.0,962,1,4
00816A48NH,53,1,319445.0,685,1,4
00819E21EA,33,0,194434.0,286,0,2
00825B43UX,62,0,391364.0,146,0,1
00830V58JE,41,0,592416.0,8,0,1
00831G80LP,47,0,293732.0,380,1,3
00831N50BR,47,0,146687.0,457,1,3
00836Z49AU,37,0,482575.0,360,1,2
00842A00HN,25,0,161457.0,105,1,1
00843D54RP,35,0,287076.0,352,0,2
00843M17XT,29,0,171903.0,182,0,1
00845Q81TK,38,0,744203.0,236,1,2
00846L25IB,36,0,758280.0,161,1,1
00850H53IL,30,0,285007.0,796,1,4
00850P15CY,30,1,478325.0,464,1,3
00857V22KA,37,0,434249.0,318,0,2
00858L44ZP,31,1,372776.0,244,0,2
00859U97GB,53,0,248346.0,285,0,2
00860W36CG,39,0,387742.0,209,1,2
00863P24UX,43,0,252653.0,389,1,3
00865M93YQ,40,0,304007.0,226,0,2
00867G02AW,63,1,488995.0,648,0,4
00873Y86OK,61,1,129037.0,418,0,3
00875I88FU,51,1,119389.0,327,0,2
00877B53FP,64,0,297888.0,41,0,1
00881N43MB,46,0,488740.0,388,1,3
00883P48KD,52,1,372019.0,464,1,3
00884B00YM,65,1,407683.0,398,0,3
00884O08HH,54,1,199381.0,268,0,2
00886G69MO,62,0,432126.0,148,0,1
00886M72WM,35,1,453600.0,300,0,2
00889K93BP,63,1,281781.0,783,1,4
00891G22PA,59,1,520701.0,323,1,2
00894L73AU,26,0,169736.0,279,0,2
00898C15VM,64,1,282091.0,500,1,3
00901N73RR,39,0,398483.0,470,1,3
00901R07PT,51,1,516285.0,485,1,3
00903H73ZK,46,0,164721.0,473,1,3
00904F99MB,49,0,548824.0,146,1,1
00904I84IS,49,0,291493.0,460,1,3
00904P31DT,37,1,665368.0,295,1,2
00905S42UB,51,1,446627.0,490,1,3
00906I17QD,65,0,391174.0,326,0,2
00907E28ZU,59,1,136861.0,244,0,2
00908X63WZ,35,0,100259.0,480,1,3
00912D28FF,64,1,426720.0,227,1,2
00913B67KG,38,0,330965.0,364,1,3
00913R99BU,57,0,781754.0,181,1,1
00913V31TE,40,0,212213.0,284,1,2
00915M41NY,51,0,485904.0,850,1,4
00919E90FE,61,1,171549.0,254,0,2
00922G84AU,37,0,264193.0,268,0,2
00922L29OE,28,1,196229.0,257,0,2
00924F05LC,59,1,457080.0,348,0,2
00925V03AX,58,0,635837.0,360,1,2
00930E10QS,35,0,298021.0,488,1,3
00931S31VF,42,1,630717.0,217,1,2
00934C21WS,48,0,290833.0,207,0,2
00934D48UJ,36,0,374075.0,396,1,3
00939Z87HR,39,0,125176.0,255,0,2
00940B89BJ,60,1,127029.0,969,1,4
00943D49FD,59,1,316667.0,603,0,4
00943K45TT,36,1,274872.0,810,1,4
00947C06UC,30,0,178731.0,259,1,2
00947N26ZQ,60,1,132224.0,163,0,1
00948K59ZW,53,1,513061.0,995,1,4
00948M19XF,47,1,344040.0,958,1,4
00955D34KU,50,1,279883.0,993,0,4
00955L04CY,45,0,331459.0,357,1,2
00955S92OW,43,0,582915.0,132,1,1
00956F58IS,48,0,347048.0,298,0,2
00957D43YN,30,0,110721.0,373,1,3
00960O30FX,56,1,200357.0,84,0,1
00960S45IJ,35,0,170833.0,212,1,2
00964H06PP,52,1,345691.0,288,1,2
00966F87IK,27,1,267669.0,233,1,2
00967L28RH,56,0,589550.0,365,1,3
00973W52MM,34,1,144389.0,457,0,3
00978Y74ZX,45,1,318032.0,205,1,2
00983W88PB,39,0,241906.0,410,1,3
00986K76BF,34,0,195720.0,44,0,1
00988D64KD,38,0,436892.0,307,0,2
00989J36PB,40,0,328892.0,457,0,3
00989P99TT,31,0,287206.0,865,1,4
00991S22SR,52,0,594865.0,142,1,1
00992F39EM,61,1,243053.0,144,0,1
00993V00RU,59,0,335735.0,696,1,4
00994U87KV,31,1,365858.0,223,1,2
00995P51TZ,53,0,351715.0,386,1,3
00996M74JK,26,1,368552.0,373,0,3
01000F22UP,46,0,120648.0,144,0,1
01001K33KH,39,1,406216.0,324,0,2
01008F40OS,39,1,723461.0,172,0,1
01008Q99DM,26,1,350271.0,205,1,2
01009Q00IV,62,0,112922.0,209,0,2
01015G52MH,40,1,339328.0,489,1,3
01016U44AD,65,1,236016.0,769,1,4
01021O87OI,32,0,177884.0,307,1,2
01024G80SN,64,0,301744.0,525,1,4
01024T77TL,64,0,72138.0,84,0,1
01025V55XI,36,1,287733.0,464,1,3
01026K03TS,30,1,337248.0,265,0,2
01026W37VZ,37,0,521923.0,184,1,1
01029J74EU,62,0,725155.0,427,1,3
01030K68WE,63,0,154494.0,426,1,3
01031I91IC,26,0,114319.0,287,0,2
01036B63OU,47,1,454235.0,282,1,2
01037M22VF,63,0,535350.0,219,1,2
01037X90QY,55,1,374984.0,352,1,2
01039S40NE,44,0,226511.0,485,0,3
01040P22BU,61,0,570420.0,337,1,2
01041H87VD,36,0,667101.0,169,1,1
01058C29CA,44,0,379859.0,354,0,2
01059W32LZ,25,1,218589.0,52,0,1
01062D39OT,38,0,451147.0,320,1,2
01067H72OL,27,1,440149.0,219,1,2
01069V95BZ,34,0,248961.0,398,1,3
01071U56OU,65,0,451333.0,362,0,3
01072B91IF,60,1,479821.0,481,1,3
01074R68ZA,34,0,209863.0,284,1,2
01077C41QN,61,0,489814.0,870,0,4
01084S44QF,40,1,701277.0,456,1,3
01088S10VR,44,0,375053.0,214,1,2
01089Z30MG,35,0,215735.0,832,1,4
01090Q97CU,38,0,444794.0,338,0,2
01093I81KX,54,1,463251.0,820,1,4
01111S41MP,60,0,726145.0,301,1,2
01115B12VM,43,0,382163.0,415,0,3
01115E84NE,26,0,156735.0,862,1,4
01115L00ID,37,1,587728.0,321,1,2
01116E98YG,64,0,356890.0,180,0,1
01117C91ZQ,51,0,367024.0,388,1,3
01119R35PW,27,0,293422.0,273,1,2
01119V81EZ,52,1,495043.0,286,1,2
01121M25DE,37,0,311387.0,262,1,2
01122K24CQ,33,1,403633.0,259,1,2
01122U04YX,42,0,432658.0,275,1,2
01123T67XK,33,0,192157.0,7,1,1
01124S12FS,53,0,74438.0,198,0,1
01127D22EI,53,0,766460.0,330,1,2
01129I96LR,51,1,251027.0,181,0,1
01129P63AG,47,1,373136.0,947,1,4
01133L81RM,36,0,544405.0,488,1,3
01136Y83CP,62,0,312569.0,437,1,3
01137U37JQ,38,0,442213.0,429,1,3
01142O70VF,60,1,278773.0,260,0,2
01142Y75AB,60,1,321181.0,1016,1,4
01147F40TX,48,0,375688.0,218,1,2
01147I00YN,40,1,521824.0,585,1,4
01149Y43AP,37,1,328237.0,55,0,1
01150J25WQ,30,0,258885.0,405,0,3
01150O25WT,34,1,466139.0,304,1,2
01151O52VB,48,0,360592.0,327,0,2
01151P20QC,43,0,126507.0,400,1,3
01151S65CN,60,1,91605.0,55,0,1
01151U07NQ,57,1,467715.0,344,0,2
01153G04UQ,55,0,194008.0,105,1,1
01162I66HE,56,1,418717.0,72,0,1
01163O49BB,43,0,362258.0,326,0,2
01168U92UH,59,1,358632.0,486,1,3
01170E37DL,25,0,210229.0,434,1,3
01177D02SI,65,1,500301.0,838,1,4
01178S34US,33,1,244272.0,299,0,2
01181X33GY,44,1,367720.0,43,0,1
01185T25PE,63,0,391285.0,276,1,2
01185X55LI,26,1,250256.0,262,0,2
01187X32PV,56,1,154483.0,435,1,3
01191Z12SW,48,0,390169.0,338,1,2
01201C34CR,27,0,190820.0,342,1,2
01202B27LS,25,0,223470.0,496,1,3
01202D16CI,43,0,616413.0,488,1,3
01207M12BE,30,1,421264.0,440,1,3
01211Z26TM,55,0,744584.0,341,0,2
01217O13GL,40,0,261481.0,330,0,2
01218M24CA,33,1,193461.0,337,0,2
01219F31JE,38,0,629440.0,427,1,3
01222W90CM,55,0,209813.0,286,0,2
01229G22XZ,55,1,187621.0,269,0,2
01230B25YI,55,0,626450.0,355,0,2
01230Q41MR,30,1,457941.0,451,1,3
01235Q72WC,26,0,204953.0,454,0,3
01239I93SO,56,0,349492.0,358,1,2
01242T24SV,49,1,462115.0,435,1,3
01248F66UL,56,1,213021.0,978,1,4
01248J78OL,36,0,144461.0,384,1,3
01248W16MI,32,0,182430.0,458,1,3
01249M61OV,56,1,395056.0,451,1,3
01256I00DB,42,1,424968.0,800,1,4
01260Z65MJ,38,1,369701.0,691,1,4
01261N00UV,60,1,336363.0,429,1,3
01262A70MN,56,1,170069.0,129,0,1
01264K53ZA,30,1,362253.0,180,1,1
01264V06YQ,60,1,184869.0,238,0,2
01266B11JM,55,0,220360.0,883,1,4
01267J14BB,52,1,406371.0,500,1,3
01269X42KK,48,1,387003.0,206,1,2
01272A34ZJ,41,1,335448.0,204,0,2
01272L91DZ,39,0,423928.0,380,0,3
01281R96GU,63,1,503021.0,699,0,4
01282J12RZ,27,0,284696.0,397,1,3
01283P16QE,40,0,409777.0,340,1,2
01285R23JP,45,0,379523.0,476,1,3
01287Y56WB,26,0,111299.0,329,0,2
01289Q32ZT,35,0,165875.0,189,0,1
01301S73UW,47,0,351466.0,336,0,2
01306A61HR,61,1,439907.0,115,0,1
01307Y56MZ,39,0,414981.0,236,1,2
01309P43PO,25,1,421603.0,446,1,3
01313I14RI,40,0,799875.0,423,1,3
01315M01JZ,40,0,275369.0,388,1,3
01315V78UP,47,0,320075.0,221,0,2
01316H43SG,29,1,164517.0,325,0,2
01326C26MX,41,1,532800.0,351,1,2
01327S33IW,62,0,200148.0,565,1,4
01333F92VU,43,0,248003.0,478,1,3
01333I37CN,26,1,482744.0,392,1,3
01333U14NG,27,1,355050.0,458,0,3
01336T52XP,35,0,102165.0,422,1,3
01337Z14BA,48,1,469771.0,464,1,3
01338T72OP,45,0,196040.0,436,1,3
01342I16ML,35,0,144078.0,82,0,1
01345N44CG,31,1,304512.0,422,1,3
01346C84YK,31,1,156101.0,129,0,1
01351A55CA,34,0,142028.0,508,1,4
01351P26AS,46,0,397192.0,445,1,3
01353U16FZ,28,1,269272.0,487,1,3
01354R98LA,59,1,191136.0,577,1,4
01354T67WW,53,1,88621.0,215,0,2
01355Q80VJ,34,1,334659.0,436,1,3
01356F57TA,39,1,574168.0,484,0,3
01356M83WX,34,1,336480.0,218,1,2
01357N30JU,54,0,535432.0,434,1,3
01358N59YL,55,1,209859.0,301,0,2
01364G45TM,44,1,330200.0,252,0,2
01369W49CR,47,1,471397.0,306,1,2
01369W98MB,56,1,379280.0,602,1,4
01372W11BU,51,1,152221.0,447,1,3
01376K94JZ,62,1,493149.0,214,1,2
01380W63OL,55,1,187149.0,429,1,3
01380X67FY,49,0,197610.0,388,1,3
01381B03VW,52,1,292589.0,767,1,4
01382D56FL,41,1,423469.0,521,1,4
01383M58FX,34,0,222326.0,404,1,3
01383Q36KW,64,0,415455.0,414,1,3
01383W35PB,62,0,708848.0,688,1,4
01384I98ZU,28,0,105102.0,480,0,3
01388S72KJ,26,0,108929.0,121,0,1
01393Q21RX,39,0,331557.0,207,1,2
01398A01WH,47,1,452765.0,226,1,2
01400H04QG,33,1,459331.0,243,0,2
01403G09VB,50,0,321521.0,273,1,2
01404G08EW,40,0,780867.0,51,1,1
01406B88CG,44,0,422416.0,340,0,2
01406X95UL,25,0,211326.0,798,0,4
01408H75PW,59,1,213752.0,803,1,4
01409K36EC,47,0,662544.0,384,1,3
01409T59KW,57,1,167648.0,315,1,2
01415Q91JU,60,0,762628.0,135,0,1
01417X45HM,54,1,392699.0,334,0,2
01419G54GG,26,1,426376.0,363,1,3
01419I84RQ,48,0,324878.0,352,1,2
01421N84MH,61,1,187115.0,93,1,1
01421S26YP,54,1,480952.0,975,1,4
01425M18OD,57,1,216427.0,113,0,1
01425Y96JL,59,1,177619.0,597,1,4
01426B52BU,43,0,386394.0,343,0,2
01426W66OY,26,0,143183.0,70,0,1
01430O58LI,30,1,368253.0,280,1,2
01432W09BC,35,0,153108.0,465,1,3
01436V30AV,55,1,330763.0,348,1,2
01437C95KI,36,0,406444.0,446,1,3
01442O52DM,32,1,214557.0,308,0,2
01442R87BN,30,1,258307.0,344,0,2
01444X76TY,48,0,185427.0,191,0,1
01445K60PV,33,1,344929.0,448,1,3
01447S13RT,44,0,235917.0,402,1,3
01448C36FL,50,0,203749.0,26,0,1
01451X67BM,58,0,538155.0,421,1,3
01456R92SA,40,0,437619.0,324,1,2
01457G16YL,36,0,520576.0,375,1,3
01460A27QG,47,1,682891.0,254,1,2
01464W35DF,36,0,549808.0,250,1,2
01465B88NC,55,1,329208.0,291,1,2
01465M23NM,55,1,203776.0,297,0,2
01469O84GB,27,0,134829.0,326,0,2
01471R97MB,57,1,276072.0,206,0,2
01477M84RH,64,0,548840.0,89,0,1
01478O25DF,64,0,483559.0,198,1,1
01481R52IF,52,0,132704.0,608,0,4
01483H74HS,47,1,771717.0,427,1,3
01483O59HL,53,0,798844.0,372,1,3
01484J05OQ,27,0,264652.0,217,1,2
01485W03JJ,50,0,667221.0,8,1,1
01490I51EZ,48,1,634787.0,359,0,2
01491N47QL,52,1,319269.0,248,1,2
01493A83ZJ,25,0,174444.0,88,1,1
01496T09SX,36,0,665789.0,845,1,4
01504Y79UO,35,0,244566.0,67,0,1
01505B94VS,37,0,366798.0,258,0,2
01506I12AU,43,1,785157.0,390,1,3
01508E27QQ,25,0,139166.0,1007,0,4
01510A15KE,65,0,175614.0,144,0,1
01511H32AX,37,0,389044.0,358,0,2
01512O88BV,34,1,316808.0,398,1,3
01513D21JV,26,1,260384.0,227,1,2
01513V60OL,58,0,570833.0,313,0,2
01518N47SC,43,1,732155.0,395,1,3
01521R29DH,34,1,232043.0,423,0,3
01522T08XX,54,1,210957.0,211,0,2
01525R30QC,60,1,468312.0,321,1,2
01529K55DA,62,1,136355.0,622,0,4
01533X59PC,37,0,250115.0,455,1,3
01538E02HP,27,0,259327.0,356,1,2
01541F43OG,36,0,780365.0,370,0,3
01544I50GY,37,1,626283.0,228,0,2
01546W12CJ,25,1,145587.0,216,1,2
01548B49ZM,49,0,295069.0,316,1,2
01551V94SD,34,0,159494.0,313,0,2
01553B70KM,55,0,254337.0,434,0,3
01555A41KX,44,0,301631.0,438,1,3
01560H49HU,65,1,457253.0,223,0,2
01562F67QV,47,0,446597.0,402,0,3
